Reps, Laps, Date, Int, Diff, S, R, SInc, Grade, Next Grade, Element
2,0,Apr 25 2018 06:48:52,0,0.421,30.477,0.995,1.033,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
3,0,Apr 29 2018 11:15:35,4,0.421,31.476,0.986,1.032,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
4,0,May 07 2018 07:22:46,8,0.421,32.476,0.974,1.031,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
5,0,May 14 2018 07:07:03,7,0.421,33.475,0.978,0.810,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
6,0,May 15 2018 05:43:05,1,0.421,27.119,0.995,2.596,4,4,Item #5: 本章继续进行从第6章“幸福”练习开始的学习过程。 ...
2,0,May 14 2018 07:03:38,10,0.105,111.405,0.974,0.571,4,4,Item #7: 3 ?清晰明白 . 模糊不清会妨 ...
3,0,May 15 2018 05:57:49,1,0.105,63.637,0.995,3.432,4,4,Item #7: 3 ?清晰明白 . 模糊不清会妨 ...
2,0,Apr 25 2018 06:48:21,0,0.421,30.209,0.995,1.033,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
3,0,Apr 29 2018 11:15:09,4,0.421,31.208,0.986,1.032,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
4,0,May 07 2018 07:18:25,8,0.421,32.208,0.974,1.031,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
5,0,May 14 2018 07:09:38,7,0.421,33.207,0.977,0.814,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
6,0,May 15 2018 05:48:24,1,0.421,27.018,0.995,2.606,4,4,Item #17: 1989年，W.M.马特林通过描述一项实验说明了这一点。 ...
2,0,May 14 2018 06:52:36,19,0.000,151.742,0.945,0.543,4,4,Item #18: 再论层次与分类. 任何思维导图 ...
2,0,May 14 2018 06:57:42,19,0.000,151.818,0.945,0.543,3,4,Item #19: 层次和分类人门. 为了控制和应用大脑无穷的能力， ...
