ElNo,Date,Grade,Success,ExpR,UsualR,PredictedR,BestR,LastS,EstS,MeasuredS,BestS,NewSInc,NewS
5,Apr 25 2018 06:48:52,4,1,0.995,0.9947,0.9949,0.9949,55.9639,55.9639,7.4019,30.0632,0.8,30.4203,
5,Apr 29 2018 11:15:35,4,1,0.9856,0.995,0.9921,0.9921,30.0632,30.4203,55.8942,44.0063,1.4638,45.0063,
5,May 07 2018 07:22:46,4,1,0.9818,0.995,0.9866,0.9866,44.0063,45.0063,61.2685,53.6784,1.2198,54.6784,
5,May 14 2018 07:07:03,4,1,0.9866,0.995,0.9905,0.9905,53.6784,54.6784,77.0567,66.6122,1.241,67.6122,
5,May 15 2018 05:43:05,4,1,0.995,0.995,0.995,0.995,66.6122,67.6122,19.7936,42.107,0.8,43.0486,
5,Jun 07 2018 08:58:10,4,1,0.9449,0.995,0.9744,0.9744,42.107,43.0486,93.9602,70.2014,1.6672,71.2014,
7,May 14 2018 07:03:38,4,1,0.9744,0.995,0.9939,0.9939,42.6018,42.6018,181.4255,116.673,2.7387,117.673,
7,May 15 2018 05:57:49,4,1,0.995,0.9947,0.9947,0.9947,116.673,117.673,19.0354,65.0567,0.8,66.011,
7,Jun 09 2018 20:10:03,4,1,0.96,0.995,0.9932,0.9932,65.0567,66.011,395.7848,241.9683,3.7193,242.9683,
17,Apr 25 2018 06:48:21,4,1,0.995,0.995,0.995,0.995,55.9639,55.9639,7.0467,29.8715,0.8,30.2068,
17,Apr 29 2018 11:15:09,4,1,0.9855,0.995,0.9899,0.9899,29.8715,30.2068,43.3907,37.2375,1.2466,38.2375,
17,May 07 2018 07:18:25,4,1,0.9786,0.995,0.9874,0.9874,37.2375,38.2375,64.9299,52.4727,1.4091,53.4727,
17,May 14 2018 07:09:38,4,1,0.9863,0.995,0.993,0.993,52.4727,53.4727,105.4843,81.2131,1.5477,82.2131,
17,May 15 2018 05:48:24,4,1,0.995,0.9947,0.9949,0.9949,81.2131,82.2131,19.5544,48.7935,0.8,49.7371,
17,Jun 07 2018 08:58:03,4,1,0.9522,0.995,0.9859,0.9859,48.7935,49.7371,171.8361,114.8613,2.354,115.8613,
18,May 14 2018 06:52:36,4,1,0.9453,0.995,0.993,0.993,36.1681,36.1681,288.3322,170.7291,4.7204,171.7291,
18,May 15 2018 05:44:00,4,1,0.995,0.9947,0.9947,0.9947,170.7291,171.7291,18.9739,90.2432,0.8,91.1955,
19,May 14 2018 06:57:42,3,1,0.9452,0.995,0.993,0.993,36.1681,36.1681,289.4957,171.3507,4.7376,172.3507,
19,May 15 2018 05:41:20,4,1,0.995,0.9947,0.9947,0.9947,171.3507,172.3507,18.8601,90.4719,0.8,91.4188,
20,May 14 2018 06:50:32,4,1,0.9452,0.995,0.993,0.993,36.1681,36.1681,290.3972,171.8325,4.7509,172.8325,
